Num1,Sign,Num2,Equals,SIGN_ADD,SIGN_SUB,SIGN_MULT,SIGN_DIV
68,+,75,143,1,0,0,0
85,-,21,64,0,1,0,0
70,*,77,5390,0,0,1,0
45,/,60,0.75,0,0,0,1
6,+,28,34,1,0,0,0
7,-,18,-11,0,1,0,0
23,*,56,1288,0,0,1,0
29,/,74,0.391891892,0,0,0,1
23,+,87,110,1,0,0,0
19,-,71,-52,0,1,0,0
85,*,0,0,0,0,1,0
68,/,61,1.114754098,0,0,0,1
51,+,85,136,1,0,0,0
64,-,15,49,0,1,0,0
24,*,16,384,0,0,1,0
80,/,56,1.428571429,0,0,0,1
99,+,70,169,1,0,0,0
57,-,6,51,0,1,0,0
78,*,35,2730,0,0,1,0
47,/,65,0.723076923,0,0,0,1
1,+,3,4,1,0,0,0
44,-,61,-17,0,1,0,0
97,*,62,6014,0,0,1,0
29,/,64,0.453125,0,0,0,1
67,+,93,160,1,0,0,0
93,-,99,-6,0,1,0,0
42,*,44,1848,0,0,1,0
10,/,81,0.12345679,0,0,0,1
61,+,34,95,1,0,0,0
68,-,4,64,0,1,0,0
4,*,41,164,0,0,1,0
87,/,3,29,0,0,0,1
77,+,89,166,1,0,0,0
22,-,90,-68,0,1,0,0
89,*,2,178,0,0,1,0
68,/,24,2.833333333,0,0,0,1
18,+,55,73,1,0,0,0
25,-,97,-72,0,1,0,0
79,*,21,1659,0,0,1,0
100,/,49,2.040816327,0,0,0,1
56,+,23,79,1,0,0,0
15,-,19,-4,0,1,0,0
50,*,89,4450,0,0,1,0
97,/,16,6.0625,0,0,0,1
98,+,5,103,1,0,0,0
17,-,47,-30,0,1,0,0
92,*,63,5796,0,0,1,0
39,/,78,0.5,0,0,0,1
54,+,65,119,1,0,0,0
13,-,55,-42,0,1,0,0
97,*,39,3783,0,0,1,0
0,/,4,0,0,0,0,1
72,+,5,77,1,0,0,0
24,-,69,-45,0,1,0,0
11,*,22,242,0,0,1,0
46,/,88,0.522727273,0,0,0,1
52,+,25,77,1,0,0,0
61,-,0,61,0,1,0,0
53,*,85,4505,0,0,1,0
72,/,96,0.75,0,0,0,1
95,+,23,118,1,0,0,0
53,-,67,-14,0,1,0,0
86,*,79,6794,0,0,1,0
20,/,87,0.229885057,0,0,0,1
54,+,84,138,1,0,0,0
47,-,40,7,0,1,0,0
24,*,22,528,0,0,1,0
12,/,90,0.133333333,0,0,0,1
6,+,24,30,1,0,0,0
63,-,24,39,0,1,0,0
1,*,20,20,0,0,1,0
87,/,10,8.7,0,0,0,1
55,+,28,83,1,0,0,0
63,-,96,-33,0,1,0,0
53,*,14,742,0,0,1,0
57,/,5,11.4,0,0,0,1
40,+,25,65,1,0,0,0
62,-,75,-13,0,1,0,0
49,*,86,4214,0,0,1,0
87,/,51,1.705882353,0,0,0,1
58,+,86,144,1,0,0,0
69,-,49,20,0,1,0,0
97,*,78,7566,0,0,1,0
37,/,77,0.480519481,0,0,0,1
90,+,54,144,1,0,0,0
89,-,8,81,0,1,0,0
66,*,37,2442,0,0,1,0
55,/,79,0.696202532,0,0,0,1
20,+,44,64,1,0,0,0
42,-,18,24,0,1,0,0
48,*,45,2160,0,0,1,0
33,/,49,0.673469388,0,0,0,1
53,+,86,139,1,0,0,0
15,-,91,-76,0,1,0,0
84,*,36,3024,0,0,1,0
46,/,51,0.901960784,0,0,0,1
6,+,62,68,1,0,0,0
3,-,30,-27,0,1,0,0
5,*,93,465,0,0,1,0
55,/,92,0.597826087,0,0,0,1
20,+,49,69,1,0,0,0
96,-,27,69,0,1,0,0
28,*,82,2296,0,0,1,0
52,/,53,0.981132075,0,0,0,1
69,+,57,126,1,0,0,0
15,-,23,-8,0,1,0,0
13,*,39,507,0,0,1,0
2,/,16,0.125,0,0,0,1
72,+,65,137,1,0,0,0
57,-,23,34,0,1,0,0
11,*,73,803,0,0,1,0
73,/,98,0.744897959,0,0,0,1
35,+,29,64,1,0,0,0
79,-,78,1,0,1,0,0
24,*,44,1056,0,0,1,0
4,/,63,0.063492063,0,0,0,1
35,+,25,60,1,0,0,0
82,-,6,76,0,1,0,0
1,*,88,88,0,0,1,0
93,/,22,4.227272727,0,0,0,1
99,+,62,161,1,0,0,0
55,-,17,38,0,1,0,0
94,*,12,1128,0,0,1,0
47,/,64,0.734375,0,0,0,1
69,+,65,134,1,0,0,0
6,-,65,-59,0,1,0,0
45,*,53,2385,0,0,1,0
35,/,24,1.458333333,0,0,0,1
30,+,26,56,1,0,0,0
44,-,51,-7,0,1,0,0
7,*,62,434,0,0,1,0
73,/,97,0.75257732,0,0,0,1
100,+,85,185,1,0,0,0
85,-,98,-13,0,1,0,0
50,*,66,3300,0,0,1,0
36,/,61,0.590163934,0,0,0,1
79,+,30,109,1,0,0,0
15,-,5,10,0,1,0,0
82,*,33,2706,0,0,1,0
61,/,72,0.847222222,0,0,0,1
23,+,90,113,1,0,0,0
97,-,59,38,0,1,0,0
47,*,79,3713,0,0,1,0
37,/,84,0.44047619,0,0,0,1
16,+,91,107,1,0,0,0
74,-,83,-9,0,1,0,0
77,*,38,2926,0,0,1,0
83,/,22,3.772727273,0,0,0,1
60,+,71,131,1,0,0,0
7,-,75,-68,0,1,0,0
54,*,68,3672,0,0,1,0
64,/,44,1.454545455,0,0,0,1
61,+,19,80,1,0,0,0
4,-,28,-24,0,1,0,0
77,*,10,770,0,0,1,0
29,/,18,1.611111111,0,0,0,1
31,+,79,110,1,0,0,0
4,-,2,2,0,1,0,0
4,*,94,376,0,0,1,0
1,/,58,0.017241379,0,0,0,1
44,+,17,61,1,0,0,0
80,-,39,41,0,1,0,0
98,*,9,882,0,0,1,0
86,/,80,1.075,0,0,0,1
85,+,0,85,1,0,0,0
64,-,63,1,0,1,0,0
13,*,61,793,0,0,1,0
41,/,53,0.773584906,0,0,0,1
97,+,95,192,1,0,0,0
53,-,54,-1,0,1,0,0
72,*,36,2592,0,0,1,0
34,/,24,1.416666667,0,0,0,1
35,+,19,54,1,0,0,0
31,-,53,-22,0,1,0,0
92,*,3,276,0,0,1,0
95,/,93,1.021505376,0,0,0,1
27,+,50,77,1,0,0,0
33,-,96,-63,0,1,0,0
49,*,25,1225,0,0,1,0
66,/,79,0.835443038,0,0,0,1
97,+,89,186,1,0,0,0
33,-,66,-33,0,1,0,0
81,*,9,729,0,0,1,0
4,/,41,0.097560976,0,0,0,1
4,+,39,43,1,0,0,0
62,-,87,-25,0,1,0,0
10,*,98,980,0,0,1,0
94,/,83,1.13253012,0,0,0,1
39,+,43,82,1,0,0,0
15,-,4,11,0,1,0,0
84,*,48,4032,0,0,1,0
18,/,52,0.346153846,0,0,0,1
21,+,70,91,1,0,0,0
95,-,76,19,0,1,0,0
22,*,81,1782,0,0,1,0
87,/,57,1.526315789,0,0,0,1
44,+,34,78,1,0,0,0
20,-,64,-44,0,1,0,0
88,*,30,2640,0,0,1,0
62,/,41,1.512195122,0,0,0,1
64,+,71,135,1,0,0,0
32,-,32,0,0,1,0,0
52,*,65,3380,0,0,1,0
31,/,45,0.688888889,0,0,0,1
71,+,51,122,1,0,0,0
7,-,91,-84,0,1,0,0
54,*,84,4536,0,0,1,0
16,/,69,0.231884058,0,0,0,1
21,+,81,102,1,0,0,0
5,-,61,-56,0,1,0,0
78,*,61,4758,0,0,1,0
25,/,55,0.454545455,0,0,0,1
40,+,7,47,1,0,0,0
66,-,8,58,0,1,0,0
91,*,49,4459,0,0,1,0
76,/,33,2.303030303,0,0,0,1
71,+,99,170,1,0,0,0
86,-,68,18,0,1,0,0
20,*,93,1860,0,0,1,0
51,/,2,25.5,0,0,0,1
97,+,1,98,1,0,0,0
89,-,46,43,0,1,0,0
39,*,21,819,0,0,1,0
91,/,63,1.444444444,0,0,0,1
37,+,40,77,1,0,0,0
24,-,21,3,0,1,0,0
4,*,11,44,0,0,1,0
93,/,69,1.347826087,0,0,0,1
10,+,11,21,1,0,0,0
